PitchNo,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,HomeTeamForeignID,AwayTeamForeignID
149,6,3,"Eisert, Brandon",685126,Left,CWS,"Lowe, Josh",666139,Left,TB,5,Top,2,1,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,90.57002839,-1.01941991,5.617732834,2123.509963,133.0803408,10:30,5.181258123,-4.066481356,7.003454728,-16.26579499,17.42671672,-8.29493036,2.899277563,0.365212778,82.37000717,-4.09005864,4.051668378,0.417770919,,,,,,,,,,,,6.173460754,9.89201707,3.726751503,50.00408579,5.111385563,-12.66430295,-131.2772809,-2.83304311,10.74083079,28.66788425,-14.96828911,CWS,TB,Rate Field,Major League Baseball,AL,145,139
150,6,4,"Eisert, Brandon",685126,Left,CWS,"Lowe, Josh",666139,Left,TB,5,Top,2,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,88.15553641,1.1421309,4.852079251,2118.394349,130.6567868,10:15,5.11346559,-4.315151604,6.960297929,-19.25185494,16.16745802,-7.480923679,4.548461728,-0.513802316,80.22262907,-2.513880772,3.438384559,0.428342905,,,,,,,,,,,,5.477243411,8.526652892,4.018594773,50.0056707,5.175302487,-10.64209043,-127.9434919,1.99559842,9.067883769,26.77949373,-18.06473321,CWS,TB,Rate Field,Major League Baseball,AL,145,139
151,6,5,"Eisert, Brandon",685126,Left,CWS,"Lowe, Josh",666139,Left,TB,5,Top,2,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,84.67114007,-0.815792601,5.361491109,2303.289846,208.1897428,1:00,5.048695951,-4.245979632,7.142703541,-33.24136489,4.992147067,5.08123144,1.539565782,1.052124396,78.29738246,-7.029847413,6.314214287,0.445034426,,,,,,,,,,,,-1.36448357,2.975601297,3.928982768,50.00426706,4.985614077,-11.67274047,-122.8486195,-2.693914611,-2.094968686,23.249868,-27.60741926,CWS,TB,Rate Field,Major League Baseball,AL,145,139
152,1,1,"Rock, Joe",697812,Left,TB,"Montgomery, Colson",695657,Left,CWS,5,Bottom,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,92.97169162,-1.416862641,2.316429668,2395.211654,130.3238799,10:15,5.977385239,-1.873768863,6.837337982,-23.60892304,8.23297335,-20.17272532,2.717868865,-1.441273136,84.60903532,-5.891619524,-1.525781686,0.40613552,,,,,,,,,,,,11.7809585,4.954829929,1.734952164,50.00037782,5.875817311,-4.850113018,-135.2445567,-4.073938808,21.65885163,31.54457294,-23.06160306,CWS,TB,Rate Field,Major League Baseball,AL,145,139
153,1,2,"Rock, Joe",697812,Left,TB,"Montgomery, Colson",695657,Left,CWS,5,Bottom,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,93.2845404,-1.889234,4.526298822,2414.728905,126.4490907,10:15,5.913817458,-1.755548548,6.791757578,-24.58382951,7.313293519,-19.64440146,2.140464152,0.7471302,84.46633983,-6.547011988,0.785697967,0.406487568,,,,,,,,,,,,12.20985474,4.648471908,1.471436599,50.00488187,5.779971456,-10.109643,-135.3240115,-5.230396701,22.39574787,32.60114888,-23.65270146,CWS,TB,Rate Field,Major League Baseball,AL,145,139
154,1,3,"Rock, Joe",697812,Left,TB,"Montgomery, Colson",695657,Left,CWS,5,Bottom,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,86.89784851,-1.931763795,3.827412241,2660.274621,269.6208899,3:00,5.729040275,-2.009039066,7.016588985,-35.29958524,0.894372575,0.813646637,1.031748518,1.542027625,80.44857256,-8.531169,3.98081369,0.433001648,,,,,,,,,,,,0.572323087,1.033050632,1.775887886,50.00397008,5.595181332,-8.47231628,-126.287874,-5.291567743,0.92845422,24.68685535,-30.5020177,CWS,TB,Rate Field,Major League Baseball,AL,145,139
155,1,4,"Rock, Joe",697812,Left,TB,"Montgomery, Colson",695657,Left,CWS,5,Bottom,0,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,93.45856758,-2.391203284,4.24692758,2459.513134,126.8349011,10:15,5.884171927,-1.870665797,6.848779976,-23.01057422,8.51390182,-18.00175114,1.785565071,0.508215796,85.36639322,-6.72712644,0.833212574,0.404106141,,,,,,,,,,,,11.0907207,5.395379523,1.608047303,50.00229373,5.72074216,-9.515796968,-135.6565313,-6.391337184,20.62305269,30.30944799,-22.14152847,CWS,TB,Rate Field,Major League Baseball,AL,145,139
156,1,5,"Rock, Joe",697812,Left,TB,"Montgomery, Colson",695657,Left,CWS,5,Bottom,0,3,1,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,93.30801152,-1.817480461,3.079428837,2439.650114,132.2377977,10:30,5.983549997,-1.826498521,6.892661918,-22.33943095,9.344409218,-20.32136258,2.465996869,-0.711987692,84.80436886,-6.049649111,-0.790649881,0.405126282,79.03915664,-18.46629064,164.1419354,7886.353058,,,,5.786767772,5.662139963,152.6131794,0.1,12.09493724,5.69877087,1.641978977,50.0036738,5.858768926,-6.669064561,-135.6171497,-4.997785416,22.35046917,31.86681666,-21.642745,CWS,TB,Rate Field,Major League Baseball,AL,145,139
157,1,6,"Rock, Joe",697812,Left,TB,"Montgomery, Colson",695657,Left,CWS,5,Bottom,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,95.19829137,-2.977306429,4.9920803,2297.498905,129.4165336,10:15,5.96403422,-1.71421193,6.971681525,-18.36495988,12.18529308,-15.70446143,1.723553751,1.529179264,86.59954557,-6.431278656,2.015128813,0.39781295,,,,,,,,,,,,10.08670979,7.633950628,1.413431992,50.00235392,5.771573531,-11.55565105,-137.9476952,-7.775774667,19.34406581,32.10414397,-17.53266648,CWS,TB,Rate Field,Major League Baseball,AL,145,139
158,2,1,"Rock, Joe",697812,Left,TB,"Quero, Edgar",700337,Right,CWS,5,Bottom,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,94.45175612,-2.860918586,4.459904153,2357.03865,127.3506623,10:15,5.79098847,-2.038003546,7.078034303,-24.58631772,6.301085932,-18.43334885,1.14365459,0.482443679,86.41463583,-7.481443837,0.966472721,0.400002046,,,,,,,,,,,,11.37854408,4.322443927,1.779694636,50.00234507,5.608398929,-10.10940199,-137.0133849,-7.634934544,21.59789012,30.7322699,-23.97022249,CWS,TB,Rate Field,Major League Baseball,AL,145,139
